Date,Close,50-day MA,200-day MA,Golden Cross,,,,,,,,,,,,
11/30/2023,456.4,434.335,427.41295,0,,,,,,,,,,,,
12/1/2023,459.1,434.8892,427.63855,0,,,,,,,,,,,,
12/4/2023,456.69,435.4146,427.8806,0,,,,,,,,,,,,
12/5/2023,456.6,435.902,428.1273,0,,,,,,,,,,,,
12/6/2023,454.76,436.4796,428.40565,0,,,,,,,,,,,,
12/7/2023,458.23,437.1232,428.7041,0,,,,,,,,,,,,
12/8/2023,460.2,437.7568,429.0018,0,,,,,,,,,,,,
12/11/2023,461.99,438.447,429.32985,0,,,,,,,,,,,,
12/12/2023,464.1,439.1828,429.6617,0,,,,,,,,,,,,
12/13/2023,470.5,440.161,430.0329,0,,,,,,,,,,,,
12/14/2023,472.01,441.108,430.41925,0,,,,,,,,,,,,
12/15/2023,469.33,442.0046,430.77685,0,,,,,,,,,,,,
12/18/2023,471.97,442.8532,431.11575,0,,,,,,,,,,,,
12/19/2023,474.84,443.7042,431.4676,0,,,,,,,,,,,,
12/20/2023,468.26,444.3786,431.81755,0,,,,,,,,,,,,
12/21/2023,472.7,445.1062,432.18645,0,,,,,,,,,,,,
12/22/2023,473.65,445.906,432.5969,0,,,,,,,,,,,,
12/26/2023,475.65,446.789,433.0456,0,,,,,,,,,,,,
12/27/2023,476.51,447.5984,433.50135,0,,,,,,,,,,,,
12/28/2023,476.69,448.4118,433.92615,0,,,,,,,,,,,,
12/29/2023,475.31,449.3138,434.3563,0,,,,,,,,,,,,
1/2/2024,472.65,450.2382,434.739,0,,,,,,,,,,,,
1/3/2024,468.79,451.1902,435.133,0,,,,,,,,,,,,
1/4/2024,467.28,452.1266,435.5007,0,,,,,,,,,,,,
1/5/2024,467.92,453.0124,435.84575,0,,,,,,,,,,,,
1/8/2024,474.6,454.1534,436.2582,0,,,,,,,,,,,,
1/9/2024,473.88,455.38,436.66175,0,,,,,,,,,,,,
1/10/2024,476.56,456.6976,437.0658,0,,,,,,,,,,,,
1/11/2024,476.35,457.9128,437.4651,0,,,,,,,,,,,,
1/12/2024,476.68,459.0824,437.8705,0,,,,,,,,,,,,
1/16/2024,474.93,460.1278,438.2384,0,,,,,,,,,,,,
1/17/2024,472.29,460.9584,438.58135,0,,,,,,,,,,,,
1/18/2024,476.49,461.7944,438.91685,0,,,,,,,,,,,,
1/19/2024,482.43,462.7292,439.27425,0,,,,,,,,,,,,
1/22/2024,483.45,463.6596,439.64815,0,,,,,,,,,,,,
1/23/2024,484.86,464.6118,440.03445,0,,,,,,,,,,,,
1/24/2024,485.39,465.6428,440.41545,0,,,,,,,,,,,,
1/25/2024,488.03,466.5912,440.80755,0,,,,,,,,,,,,
