Date,Close
3/23/2022,443.8
3/24/2022,450.49
3/25/2022,452.69
3/28/2022,455.91
3/29/2022,461.55
3/30/2022,458.7
3/31/2022,451.64
4/1/2022,452.92
4/4/2022,456.8
4/5/2022,451.03
4/6/2022,446.52
4/7/2022,448.77
4/8/2022,447.57
4/11/2022,439.92
4/12/2022,438.29
4/13/2022,443.31
4/14/2022,437.79
4/18/2022,437.97
4/19/2022,445.04
4/20/2022,444.71
4/21/2022,438.06
4/22/2022,426.04
4/25/2022,428.51
4/26/2022,416.1
4/27/2022,417.27
4/28/2022,427.81
4/29/2022,412
5/2/2022,414.48
5/3/2022,416.38
5/4/2022,429.06
5/5/2022,413.81
5/6/2022,411.34
5/9/2022,398.17
5/10/2022,399.09
5/11/2022,392.75
5/12/2022,392.34
5/13/2022,401.72
5/16/2022,400.09
5/17/2022,408.32
5/18/2022,391.86
5/19/2022,389.46
5/20/2022,389.63
5/23/2022,396.92
5/24/2022,393.89
5/25/2022,397.37
5/26/2022,405.31
5/27/2022,415.26
5/31/2022,412.93
6/1/2022,409.59
6/2/2022,417.39
6/3/2022,410.54
6/6/2022,411.79
6/7/2022,415.74
6/8/2022,411.22
6/9/2022,401.44
6/10/2022,389.8
6/13/2022,375
6/14/2022,373.87
6/15/2022,379.2
6/16/2022,366.65
6/17/2022,365.86
6/21/2022,375.07
6/22/2022,374.39
6/23/2022,378.06
6/24/2022,390.08
6/27/2022,388.59
6/28/2022,380.65
6/29/2022,380.34
6/30/2022,377.25
7/1/2022,381.24
7/5/2022,381.96
7/6/2022,383.25
7/7/2022,388.99
7/8/2022,388.67
7/11/2022,384.23
7/12/2022,380.83
7/13/2022,378.83
7/14/2022,377.91
7/15/2022,385.13
7/18/2022,381.95
7/19/2022,392.27
7/20/2022,394.77
7/21/2022,398.79
7/22/2022,395.09
7/25/2022,395.57
7/26/2022,390.89
7/27/2022,401.04
7/28/2022,406.07
7/29/2022,411.99
8/1/2022,410.77
8/2/2022,408.06
8/3/2022,414.45
8/4/2022,414.17
8/5/2022,413.47
8/8/2022,412.99
8/9/2022,411.35
8/10/2022,419.99
8/11/2022,419.99
8/12/2022,427.1
8/15/2022,428.86
8/16/2022,429.7
8/17/2022,426.65
8/18/2022,427.89
8/19/2022,422.14
8/22/2022,413.35
8/23/2022,412.35
8/24/2022,413.67
8/25/2022,419.51
8/26/2022,405.31
8/29/2022,402.63
8/30/2022,398.21
8/31/2022,395.18
9/1/2022,396.42
9/2/2022,392.24
9/6/2022,390.76
9/7/2022,397.78
9/8/2022,400.38
9/9/2022,406.6
9/12/2022,410.97
9/13/2022,393.1
9/14/2022,394.6
9/15/2022,390.12
9/16/2022,385.56
9/19/2022,388.55
9/20/2022,384.09
9/21/2022,377.39
9/22/2022,374.22
9/23/2022,367.95
9/26/2022,364.31
9/27/2022,363.38
9/28/2022,370.53
9/29/2022,362.79
9/30/2022,357.18
10/3/2022,366.61
10/4/2022,377.97
10/5/2022,377.09
10/6/2022,373.2
10/7/2022,362.79
10/10/2022,360.02
10/11/2022,357.74
10/12/2022,356.56
10/13/2022,365.97
10/14/2022,357.63
10/17/2022,366.82
10/18/2022,371.13
10/19/2022,368.5
10/20/2022,365.41
10/21/2022,374.29
10/24/2022,378.87
10/25/2022,384.92
10/26/2022,382.02
10/27/2022,379.98
10/28/2022,389.02
10/31/2022,386.21
11/1/2022,384.52
11/2/2022,374.87
11/3/2022,371.01
11/4/2022,376.35
11/7/2022,379.95
11/8/2022,382
11/9/2022,374.13
11/10/2022,394.69
11/11/2022,398.51
11/14/2022,395.12
11/15/2022,398.49
11/16/2022,395.45
11/17/2022,394.24
11/18/2022,396.03
11/21/2022,394.59
11/22/2022,399.9
11/23/2022,402.42
11/25/2022,402.33
11/28/2022,395.91
11/29/2022,395.23
11/30/2022,407.68
12/1/2022,407.38
12/2/2022,406.91
12/5/2022,399.59
12/6/2022,393.83
12/7/2022,393.16
12/8/2022,396.24
12/9/2022,393.28
12/12/2022,398.95
12/13/2022,401.97
12/14/2022,399.4
12/15/2022,389.63
12/16/2022,383.27
12/19/2022,380.02
12/20/2022,380.54
12/21/2022,386.23
12/22/2022,380.72
12/23/2022,382.91
12/27/2022,381.4
12/28/2022,376.66
12/29/2022,383.44
12/30/2022,382.43
1/3/2023,380.82
1/4/2023,383.76
1/5/2023,379.38
1/6/2023,388.08
1/9/2023,387.86
1/10/2023,390.58
1/11/2023,395.52
1/12/2023,396.96
1/13/2023,398.5
1/17/2023,397.77
1/18/2023,391.49
1/19/2023,388.64
1/20/2023,395.88
1/23/2023,400.63
1/24/2023,400.2
1/25/2023,400.35
1/26/2023,404.75
1/27/2023,405.68
1/30/2023,400.59
1/31/2023,406.48
2/1/2023,410.8
